Questions,Answers
"Do car seats and booster seats need extra cleaning and disinfection to prevent spread of COVID-19? If so, how should car seats and booster seats be cleaned and disinfected?","It may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this isn’t thought to be the main way the virus spreads. CDC recommends cleaning and disinfection of frequently touched surfaces and frequent handwashing or the use of hand sanitizer with at least 60% alcohol as best practice measures for prevention of COVID-19 and other viral respiratory illnesses.
Some cleaning and disinfectionexternal icon products are not recommended for use on car seats and booster seats. Owners should follow the manufacturer’s cleaning instructions for their car seats and booster seats.
Motor vehicle crashes are a leading cause of death for children in the United States. Always buckle children in age- and size-appropriate car seats, booster seats, and seat belts when riding in a vehicle."
What is the difference between cleaning and disinfecting?,"Cleaning with soap and water or a detergent removes germs, dirt, and impurities from surfaces. It lowers the risk of spreading infection. Disinfecting with a household disinfectant on List N: Disinfectants for use against SARs-CoV-2external icon kills germs on the surface. By disinfecting or killing germs on a surface after cleaning the surface, it can further lower the risk of spreading infection. For more information review cleaning and disinfection recommendations for facilities and homes."
"Is it safe to vacuum in a school, business, or community facility after someone with COVID-19 was there?","The risk of spreading SARS-CoV-2, the virus that causes COVID-19, during vacuuming is unknown. At this time, there are no reported cases of COVID-19 associated with vacuuming.
Consider removing area rugs completely, if possible, to reduce the need for cleaning, disinfection, and vacuuming.
If vacuuming is necessary or required,

First, follow the CDC recommendations for Cleaning and Disinfection for Community Facilities.
Close off areas visited by the ill persons. Open outside doors and windows and use ventilating fans to increase air circulation in the area. Wait 24 hours or as long as practical before beginning cleaning and disinfection.
After cleaning and disinfection, the following recommendations may help reduce the risk to workers and other individuals when vacuuming:

Use a vacuum equipped with a high-efficiency particulate air (HEPA) filter, if available.
Do not vacuum a room or space that has people in it. Wait until the room or space is empty to vacuum, such as at night, for common spaces, or during the day for private rooms.
Temporarily turn off in-room, window-mounted, or on-wall recirculation HVAC to avoid contamination of the HVAC units.
Do NOT deactivate central HVAC systems. These systems tend to provide better filtration capabilities and introduce outdoor air into the areas that they serve.



"
What is routine cleaning? How frequently should facilities be cleaned to reduce the potential spread of COVID-19?,"Routine cleaning is everyday cleaning practices that businesses and communities normally do to maintain a healthy environment.
Surfaces frequently touched by multiple people, such as door handles, bathroom surfaces, and handrails, should be cleaned and disinfected with soap and water or detergent. These surfaces should be cleaned at least daily when facilities are in use.
More frequent cleaning and disinfection may be required based on level of use. For example, certain surfaces and objects in public spaces, such as shopping carts and point of sale keypads, should be cleaned and disinfected before each use."
Who should clean and disinfect facilities?,"Regular cleaning staff can clean and disinfect facilities. Cleaning staff should be trained on appropriate use of cleaning and disinfection chemicals and provided with, and wear, masks and the personal protective equipment (PPE) required for all of the chemicals used."
"How effective are alternative disinfection methods, such as ultrasonic waves, high intensity UV radiation, and LED blue light?","The efficacy of these disinfection methods against the virus that causes COVID-19 is not known. EPA only recommends use of the surface disinfectants identified on List Nexternal icon against the virus that causes COVID-19. EPA does not routinely review the safety or efficacy of pesticidal devices, such as UV lights, LED lights, or ultrasonic devices. However, CDC is producing guidance on use of Germicidal ultraviolet as an alternative disinfection method. Therefore, EPA cannot confirm whether, or under what circumstances, such products might be effective against the spread of COVID-19. For more information on CDC’s recommendations for primary surface disinfection in occupied environments please visit the CDC/EPA guidance for surface disinfection."
Can sanitizing tunnels be used at facility entrances or exits to prevent the spread of COVID-19?,"CDC does not recommend the use of sanitizing tunnels. There is no evidence that they are effective in reducing the spread of COVID-19. In addition, chemicals used in sanitizing tunnels could cause skin, eye, or respiratory irritation or damage.
 "
"Should sidewalks, roads, and other outdoor spaces be disinfected to prevent the spread of COVID-19?","CDC does not recommend disinfection of sidewalks, roads, or most other outdoor spaces. Spraying disinfectant on sidewalks, roads, and other outdoor spaces is not an efficient use of disinfectant supplies and has not been proven to reduce the risk of COVID-19 to the public. The risk of spreading the virus that causes COVID-19 from these surfaces is very low and disinfection is not effective on these surfaces."
Can I get COVID-19 from my pets or other animals?,"Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. See If You Have Pets for more information about pets and COVID-19.
However, since animals can spread other diseases to people, it’s always a good idea to practice healthy habits around pets and other animals, such as washing your hands and maintaining good hygiene. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife, visit CDC’s Healthy Pets, Healthy People website."
Can animals carry the virus that causes COVID-19 on their skin or fur?,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.
However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice healthy habits around pets and other animals, including washing hands before and after interacting with them."
Can I use hand sanitizer on pets?,"Do not wipe or bathe your pet with chemical disinfectants, alcohol, hydrogen peroxide, or other products, such as hand sanitizer, counter-cleaning wipes, or other industrial or surface cleaners. If you have questions about appropriate products for bathing or cleaning your pet, talk to your veterinarian. If your pet gets hand sanitizer on their skin or fur, rinse or wipe down your pet with water immediately. If your pet ingests hand sanitizer (such as by chewing the bottle) or is showing signs of illness after use, contact your veterinarian or pet poison control immediately. "
Can I take my dog to a dog park?,"Dog parks provide socialization and exercise for dogs, which is an important part of their wellbeing. Because there is a risk that people with COVID-19 could spread it to animals, CDC recommends that you do not let pets interact with people outside of your household, especially in places with community spread of COVID-19. Therefore, you should consider avoiding dog parks or other places where large numbers of people and dogs gather.
Some areas are allowing dog parks to open. If you choose to go to a dog park, follow local guidelines. There are ways to reduce the risk of you or your dog getting infected with COVID-19 if you go to a dog park.

Do not take your dog to a dog park if you are sick or if you have recently been in close contact with a person with COVID-19.
Do not take your dog to a dog park if your dog is sick. Signs of sickness in dogs may include fever, coughing, difficulty breathing or shortness of breath, lethargy, sneezing, discharge from the nose or eyes, vomiting, or diarrhea.
If your dog has tested positive for the virus that causes COVID-19, talk to your veterinarian about when it is appropriate for your pet to go back to normal activities.
Try to limit your dog’s interaction with other people outside of your household while at the dog park.
As much as possible, avoid touching common items in the dog park like water bowls. Wash your hands or use hand sanitizer after touching items from the park. To make sure your dog has fresh water, consider bringing your own portable water bowl.
Limit other pet items brought to the dog park, such as toys. Clean and disinfect anything taken to the park and returned home (leashes, toys, water bowls).
Do not wipe or bathe your dog with chemical disinfectants, alcohol, hydrogen peroxide, or other products, such as hand sanitizer, counter-cleaning wipes, or other industrial or surface cleaners. If you have questions about appropriate products for bathing or cleaning your pet, talk to your veterinarian.

See more information on pets and COVID-19 and recommendations for how to help keep your pet safe."
Can I take my dog to daycare or a groomer?,"Until we know more about how this virus affects animals, CDC encourages pet owners to treat pets as you would other human family members to protect them from possible infection. This means limiting contact between your pets and people outside your household as much as possible and avoiding places where large numbers of people gather.
Some areas are allowing groomers and boarding facilities such as dog daycares to open. If you must take your pet to a groomer or boarding facility, follow any protocols put into place at the facility, such as wearing a mask and maintaining at least 6 feet of space between yourself and others if possible.
Limit pet items brought from home to the groomer or boarding facility, and disinfect any objects that are taken into a facility and returned home (such as leashes, bowls, and toys). Use an EPA-registered disinfectantexternal icon to clean items and rinse thoroughly with clean water afterwards. Do not wipe or bathe your pet with chemical disinfectants, alcohol, hydrogen peroxide, or other products, such as hand sanitizer, counter-cleaning wipes, or other industrial or surface cleaners. If you have questions about appropriate products for bathing or cleaning your pet, talk to your veterinarian.
Do not put masks on pets, and do not take a sick pet to a groomer or boarding facility. Signs of sickness in dogs may include fever, coughing, difficulty breathing or shortness of breath, lethargy, sneezing, discharge from the nose or eyes, vomiting, or diarrhea. If you think your pet is sick, call your veterinarian. Some veterinarians may offer telemedicine consultations or other plans for seeing sick pets. Your veterinarian can evaluate your pet and determine the next steps for your pet’s treatment and care.
See more information on pets and COVID-19 and recommendations for how to help keep your pet safe."
What should I do if my pet gets sick and I think it’s COVID-19?,"Most pets that have gotten sick from the virus that causes COVID-19 were infected after close contact with a person with COVID-19. Talk to your veterinarian about any health concerns you have about your pets.
If your pet gets sick after contact with a person with COVID-19, call your veterinarian and let them know the pet was around a person with COVID-19. If you are sick with COVID-19, do not take your pet to the veterinary clinic yourself. Some veterinarians may offer telemedicine consultations or other plans for seeing sick pets. Your veterinarian can evaluate your pet and determine the next steps for your pet’s treatment and care. Routine testing of animals for COVID-19 is not recommended at this time."
What should I do if there are pets at my long-term care facility or assisted living facility?,"Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. However, it appears that the virus that causes COVID-19 can spread from people to animals after close contact with people with COVID-19.
Until we learn more about how this virus affects animals, use similar precautions for pets and other animals in your facility as you would for other people in your facility. This will help protect both people and pets in your facility from COVID-19.

Do not let pets in the facility interact with sick people.
Pets or other animals should not be allowed to roam freely around the facility.
Residents should avoid letting their pets interact with people as much as possible.
Dogs should be walked on a leash at least 6 feet (2 meters) away from others.
People sick with COVID-19 should avoid contact with pets and other animals.
Do not allow pets into common areas of the facility such as cafeterias and social areas.
Cats should be kept indoors to prevent them from interacting with other animals or people outside of the facility.

Talk to a veterinarian if a pet in your facility gets sick or if you have any concerns about the health of any pets in the facility. If you think a pet in the facility was exposed to or is showing signs consistent with COVID-19, contact your state health official to discuss guidance on testing pets or other animals for the virus that causes COVID-19.
People who are at higher risk for severe illness from COVID-19 should avoid providing care for sick pets, if possible.
For more information, visit CDC’s If You Have Pets webpage."
Are imported animals or animal products safe?,"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. CDC, the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States.

CDC regulates animals and animal products that pose a threat to human health,
USDA regulatesexternal icon animals and animal products that pose a threat to agriculture; and
FWS regulatesexternal icon importation of endangered species and wildlife that can harm the health and welfare of humans, the interests of agriculture, horticulture, or forestry, and the welfare and survival of wildlife resources.

"
Can I travel to the United States with dogs or import dogs into the United States during the COVID-19 outbreak?,Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from high-risk countries for rabies.
"What precautions should be taken for animals that have recently been imported from outside the United States (for example, by shelters, rescues, or as personal pets)?","Imported animals will need to meet CDC and USDA’sexternal iconexternal icon requirements for entering the United States. At this time, there is no evidence that companion animals, including pets and service animals, can spread the virus that causes COVID-19. As with any animal introduced to a new environment, animals recently imported should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. Call your local veterinary clinic before bringing the animal into the clinic and let them know that the animal was recently imported from another country.
This is a rapidly evolving situation and information will be updated as it becomes available."
Can wild animals spread the virus that causes COVID-19 to people or pets?,"Currently, there is no evidence to suggest the virus that causes COVID-19 is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States.
If a wild animal were to become infected with the virus, we don’t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by COVID-19. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance.
Take steps to prevent getting sick from wildlife in the United States:

Keep your family, including pets, a safe distance away from wildlife.
Do not feed wildlife or touch wildlife droppings.
Always wash your hands and supervise children washing their hands after working or playing outside.
Leave orphaned animals alone. Often, the parents are close by and will return for their young.
Consult your state wildlife agency’s guidance if you are preparing or consuming legally harvested game meat.
Do not approach or touch a sick or dead animal – contact your state wildlife agency instead.

See COVID-19 and Animals for more information."
"Can bats in United States get the virus that causes COVID-19, and can they spread it back to people?","Other coronaviruses have been found in North American bats in the past, but there is currently no evidence that the virus that causes COVID-19 is present in any free-living wildlife in the United States, including bats. In general, coronaviruses do not cause illness or death in bats, but we don’t yet know if this new coronavirus would make North American species of bats sick. Bats are an important part of natural ecosystems, and their populations are already declining in the United States. Bat populations could be further threatened by the disease itself or by harm inflicted on bats resulting from a misconception that bats are spreading COVID-19. However, there is no evidence that bats in the United States are a source of the virus that causes COVID-19 for people. Further studies are needed to understand if and how bats could be affected by COVID-19."
Is hunter-harvested game meat safe to eat during the COVID-19 pandemic?,"Currently, there is no evidence that you can get infected with the virus that causes COVID-19 by eating food, including wild hunted game meat. However, hunters can get infected with other diseases when processing or eating game.  Hunters should always practice good hygiene when processing animals by following these food safety recommendations:

Do not harvest animals that appear sick or are found dead.
Keep game meat clean and cool the meat down as soon as possible after harvesting the animal.
Avoid cutting through the backbone and spinal tissues and do not eat the brains of any wild animal.
When handling and cleaning game:

Wear rubber or disposable gloves.
Do not eat, drink, or smoke.


When finished handling and cleaning game:

Wash your hands thoroughly with soap and water.
Clean knives, equipment, and surfaces that were in contact with game meat with soap and water and then disinfect them. While these recommendations apply to general food safety practices, if you are concerned about COVID-19, you may use a product on the EPA list of disinfectants for use against the COVID-19 virusexternal icon.


Cook all game meat thoroughly (to an internal temperature of 165°F or higher).
Check with your state wildlife agency regarding any testing requirements for other diseases and for any specific instructions regarding preparing, transporting, and consuming game meat.

"
How can I safely run my equestrian facility?,"You should follow your state and/or local jurisdictional guidance regarding continuing operations at your facility. There have not been any reports of horses testing positive for the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading the virus that causes COVID-19 to people is considered to be low. COVID-19 is primarily spread from person to person, so steps should be taken to reduce the risks for people visiting your facility.

Encourage employees and other visitors, including boarders, owners, farriers, veterinarians, and those taking lessons, not to enter the facility if they are sick. Employees should not return to work until the criteria to discontinue home isolation are met, after talking with their doctor. Implement sick leave policies that are flexible, nonpunitive, and consistent with public health guidance, allowing employees to stay home if they have symptoms of respiratory infection.
Consider conducting daily health checks (e.g., symptom and/or temperature screening) of employees and others visiting the facility before they enter the premises. People with a fever of 100.40(38.00C) or above or other signs of illness should not be admitted to the premises. If implementing health checks, conduct them safely and respectfully. See General Business FAQs for more information.

Employees or visitors who appear to have symptoms upon arrival or who become sick during their visit should immediately be separated from other employees and visitors and sent home.


Limit the number of people entering the facility. Consider staggering lesson and visiting times to limit the number of people in the facility and potential for person-to-person contact. If possible, you can also take steps to decrease high-traffic areas by limiting areas open to visitors/owners or staggering use of common areas like grooming or wash stalls and tack rooms.
Increase distance and limit duration of contact between employees and visitors in the facility. Whenever possible, people should maintain at least 6 feet of distance between each other at the facility, including instructors teaching lessons. Allow for social distancing and avoid large numbers of people within the facility, including in employee-only areas.
Visitors and employees should wear masks to protect others especially where social distancing measures are difficult to maintain. Wearing a mask does NOT replace the need to practice social distancing.
Set up hand hygiene stations at the entrance and within the facility, so that employees and people entering can clean their hands before they enter. Employees should wash hands regularly with soap and water for at least 20 seconds. An alcohol-based hand sanitizer containing at least 60% alcohol can be used, but if hands are visibly dirty, they should be washed with soap and water before using an alcohol-based hand sanitizer. Examples of hand hygiene stations may be a hose and soap located at entrances to allow for handwashing before entry.
Clean and disinfect frequently touched surfaces such as grooming tools, halters, lead ropes, shared tack and equipment, and door handles/gates (including those to stall doors and pasture/turn out areas) on a routine basis. To disinfect, use products that meet EPA’s criteria for use against theexternal icon virus that causes COVID-19 and are appropriate for the surface, diluted household bleach solutions prepared according to the manufacturer’s label for disinfection, or alcohol solutions with at least 70% alcohol. Follow manufacturer’s directions for use, especially regarding product contact time and protections from chemical hazards posed by cleaners and disinfectants.
Follow local guidance on shelter in place and travel recommendations when traveling for showing, training, or trail riding.
If traveling to a new facility, limit contact between people, horses, tack, equipment, and other supplies from different facilities, and maintain a distance of at least 6 feet between horses and riders.

Follow state and local guidance on travel. People who are sick should not travel to other facilities.
People visiting other facilities should follow the same precautions as they would normally, including maintaining at least 6 feet of distance between each other, wearing a mask to protect others, and washing hands frequently with soap and water.


If other animals, such as barn cats, are present at the facility, be aware that a small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19.

For more information, see Guidance on Preparing Workplaces for COVID-19pdf iconexternal icon and Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19)."
Can the virus that causes COVID-19 get back into the environment from wastewater and infect wildlife?,"SARS-CoV-2 (the virus that causes COVID-19) can be shed in the feces of people with COVID-19. Genetic material from SARS-CoV-2 has been found in untreated wastewater. However, while data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. It is possible that wildlife could become infected with SARS-CoV-2 from contact with untreated wastewater, but evidence from studies of virus infectivity in feces and survival in wastewater suggests that this transmission route is unlikely to occur."
What is community mitigation?,"See also: Pets and Other Animals
"
What are community mitigation actions for COVID-19?,"Community mitigation is a set of actions that people and communities can take to slow the spread of infectious diseases like COVID-19. The goal of community mitigation in areas with local COVID-19 transmission is to slow its spread and to protect all individuals, especially those at increased risk for severe illness, while minimizing the negative impacts of these strategies. For more information, see Community Mitigation Framework."
"Can I get COVID-19 from food (including restaurant take-out, produce, refrigerated, or packaged food) or drinking water?","There are several actions that individuals and communities can take to help reduce the chance that they, their families and friends, and their communities get COVID-19. In general, the more cases spreading in your community, the more likely it will spread to you or your family. Also, the more people an individual interacts with, and the longer each interaction lasts, the higher the risk of viral spread. Location can be a factor, too, with outdoor activities generally being less risky than indoor activities.
 Individuals can take the following community mitigation actions:

Wear a mask (with some exceptions) when in public settings or around others not living in the same household
Follow healthy hygiene practices, such as frequent hand washing
Practice social distancing
Stay home when sick
Clean and disinfect frequently touched surfaces daily

Communities can take the following actions:

Promote behaviors that prevent spread
Maintain healthy environments
Ensure institutions in the community are practicing appropriate precautions
Prepare for when someone gets sick
Close businesses and schools, and limit other services

For more information, see Community Guidance, Community Mitigation, and Community Mitigation Framework."
Can the virus that causes COVID-19 spread through treated drinking water?,"Currently there is no evidence that people can get COVID-19 by eating or handling food.
It may be possible that people can get COVID-19 by touching a surface or object, such as a food package or dining ware that has the virus on it and then touching their own mouth, nose, or possibly their eyes. However, this is not thought to be the main way the virus spreads. Follow food safety guidelines when handling and cleaning fresh produce. Do not wash produce with soap, bleach, sanitizer, alcohol, disinfectant or any other chemical.
There is also no current evidence that people can get COVID-19 by drinking water. The COVID-19 virus has not been detected in drinking water. Conventional water treatment methods that use filtration and disinfection, such as those in most municipal drinking water systems, should remove or kill the virus that causes COVID-19.​ Learn more about food and COVID-19."
Is the virus that causes COVID-19 found in feces (stool)?,"The virus that causes COVID-19 has not been detected in treated drinking water. Water treatment plants use filters and disinfectants to remove or kill germs, like the virus that causes COVID-19. The Environmental Protection Agency regulates water treatment plants to ensure that treated water is safe to drink.
Currently, there is no evidence that the virus that causes COVID-19 can be spread to people by drinking treated water. COVID-19 is spread mainly through close contact from person-to-person. You can continue to use and drink water from your tap as usual."
Can the COVID-19 virus spread through wastewater systems?,"The virus that causes COVID-19 has been found in the feces of some patients diagnosed with COVID-19. However, it is unclear whether the virus found in feces may be capable of causing COVID-19. There has not been any confirmed report of the virus spreading from feces to a person. Scientists also do not know how much risk there is that the virus could be spread from the feces of an infected person to another person. However, they think this risk is low based on data from previous outbreaks of diseases caused by related coronaviruses, such as severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS)."
Should wastewater workers take extra precautions to protect themselves from the virus that causes COVID-19?,"SARS-CoV-2 (the virus that causes COVID-19) can be shed in the feces of individuals with COVID-19. Genetic material from SARS-CoV-2 has been found in untreated wastewater. However, while data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. Wastewater treatment plants use chemical and other disinfection processes to remove and degrade many viruses and bacteria. SARS-CoV-2 is inactivated by the disinfection methods used in wastewater treatment. At this time, the risk of transmission of the virus that causes COVID-19 through properly designed and maintained wastewater systems is thought to be low."
"If my utility has issued a Boil Water Advisory, can I still use tap water to wash my hands?","Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater.
Standard practices associated with wastewater treatment plant operations should be sufficient to protect wastewater workers from the virus that causes COVID-19. These standard practices can include engineering and administrative controls, hygiene precautions, specific safe work practices, and personal protective equipment (PPE) normally required when handling untreated wastewater. No additional COVID-19–specific protections are recommended for workers involved in wastewater management, including those at wastewater treatment facilities.
See Information for Wastewater and Sanitation System Workers on COVID-19 for additional information."
Can the virus that causes COVID-19 spread to people through floodwater?,"In most cases, it is safe to wash your hands with soap and tap water during a Boil Water Advisory. Follow the guidance from your local public health officials. If soap and water are not available, use an alcohol-based hand sanitizer containing at least 60% alcohol."
"Can the virus that causes COVID-19 spread to people through the water in pools, hot tubs, or water playgrounds?","
There is no evidence that COVID-19 can spread to people through water, including floodwater.
Sometimes floodwater can mix with wastewater. CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces from an infected person. Stay out of floodwater to avoid hazards and illnesses from contaminants that are not associated with COVID-19. To learn more about COVID-19 and wastewater, see question, “Can the COVID-19 virus spread through sewerage systems?”
"
Can the virus that causes COVID-19 spread to people through the water in saltwater pools?,"CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, hot tubs, or water playgrounds. Plus, proper operation of public pools, hot tubs, and water playgrounds (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus.
The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public pool, hot tub, or water playground is open, it is important for all visitors and staff to take steps to slow the spread of the virus:

Stay home if you are infected or might be infected with the virus that causes COVID-19.
Stay at least 6 feet apart (in and out of the water) from people you don’t live with.
Wear cloth masks when not in water.
Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands.
Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available.

See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
"Can the virus that causes COVID-19 spread to people through the water in lakes, oceans, or rivers?","CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, including saltwater pools. Plus, proper operation of public pools (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. Saltwater pools are chlorinated pools.
In traditional pools, chlorine products (such as granules or liquid bleach) are added to the water to disinfect it. In saltwater pools, table salt (made up of sodium and chloride) is added to the water, and an electrical current is then run through the water with dissolved salt. This creates the same disinfecting form of chlorine that is created when chlorine products are added to the water in traditional pools."
Can cloth masks be worn in the water?,"CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in lakes, oceans, rivers, or other natural bodies of water.
The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public beach or other swim area in a natural body of water is open, it is important for all visitors and staff to take steps to slow the spread of the virus:

Stay home if you are infected or might be infected with the virus that causes COVID-19.
Stay at least 6 feet apart (in and out of the water) from people you don’t live with.
Wear cloth masks when not in water.
Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands.
Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available.

See Considerations for Public Beaches for more information.
RNAexternal icon of the virus that causes COVID-19 has been found in untreated wastewater, which can come from combined sewer overflowsexternal icon (rainwater runoff, domestic sewage, and industrial wastewater) and other sourcesexternal icon (such as, leaking septic tanks or animal waste from farms nearby) and enter swim areas. While data are limited, there is little evidence of infectious virus in wastewater. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces (poop) from an infected person.
At lakes, oceans, and rivers with routine water quality monitoring programs, staff look for changes in fecal (poop) contamination of the water. Water quality advisories and beach closures alert the public to avoid getting in or on the water because of increased fecal contamination. Learn more about healthy swimming in natural bodies of water and access water quality information by state."
"Can Lycra (Spandex or elastane), the cloth used to make swimsuits, be used to make cloth masks?","No, do NOT wear a cloth mask in the water. It can be difficult to breathe through a cloth mask when it is wet. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. All of this means it is particularly important to stay at least 6 feet apart in the water from people you don’t live with.
In case cloth masks do get wet by mistake, bring a second (or extra) cloth mask for everyone heading out to the public pool or beach."
"How many people, visitors and staff, can be in and around a public pool, hot tub, or water playground (such as at an apartment complex or owned by a community) at the same time?","CDC does not yet have evidence on the effectiveness of different types of cloth materials.
Wearing cloth masks can help prevent people infected with the virus that causes COVID-19 from spreading the virus. Make sure your cloth mask:

fits snugly but comfortably against the side of the face,
completely covers the nose and mouth,
is secured with ties or ear loops,
includes multiple layers of fabric,
allows for breathing without restriction, and
can be laundered and machine dried without damage or change to shape.

Cloth masks should NOT be worn by children less than 2 years old or anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance. Learn more about how to wear, take off, and wash your cloth masks. "
"Can I use pool, hot tub, or water playground water to disinfect surfaces or shared objects?","The design of the public pool, hot tub, or water playground and surrounding deck and if visitors live together or not will affect how many people can stay at least 6 feet apart from those they don’t live with.
CDC recommends operators of public pools, hot tubs, and water playgrounds:

comply with local, state, territorial, federal, and tribal regulatory agency policies and requirements on gathering (so the number of swimmers in the water isn’t more than the maximum allowed) and
teach and reinforce social (physical) distancing among visitors and staff.

Operators might want to limit the number of people in and around the water so if the water needs to be evacuated (because of lightning or other health or safety threat) social distancing can be maintained on the deck. Otherwise, if the water is evacuated and social distancing cannot be maintained on the deck, close the deck to visitors. There is no standard formula to determine how many people can maintain social distancing in the water and on the surrounding deck.
See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
Can the sun’s ultraviolet (UV) light disinfect surfaces and shared objects?,"No. Only List N disinfectants approved by the U.S. Environmental Protection Agencyexternal icon should be used to disinfect surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles).
The list includes hundreds of disinfectants. Operators of public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) should consult with the design company or engineer to determine which disinfectants are best suited for surfaces and with manufacturers to determine which disinfectants are best suited for shared objects.
Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
"How often do surfaces (such as handrails and in bathrooms) at public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to be cleaned and disinfected?","We don’t know yet. Early scientific data suggest that SARS-CoV-2, the virus that causes COVID-19, can be inactivated by the sun’s UV light. However, the ability of the sun’s UV light to inactivate the virus on surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles) needs more research. Factors — such as cloudiness, latitude (distance from equator), time of day, and amount of time exposed to the sun’s UV light — will determine how effectively the virus is inactivated.
Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectantsexternal icon."
"Do procedures for responding to formed fecal (poop) or diarrheal incidents in public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to change during the COVID-19 pandemic?","The more frequently a surface is touched by multiple people, the more frequently it should be cleaned and then disinfected with a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon. Frequently touched surfaces should be cleaned and disinfected at least daily.
Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
"Can lifeguards monitor how visitors socially distance (stay at least 6 feet apart from people you don’t live with), wear cloth masks, or wash hands?","No. RNAexternal icon of the virus that causes COVID-19 has been found in feces (poop). While data are limited, there is little evidence of infectious virus in feces. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces from an infected person. As a result, CDC has not changed its fecal incident response recommendations. Remember, do NOT vacuum feces out of the water."
How can the spread of the virus that causes COVID-19 be slowed during lifeguard training?,"Not when lifeguards are actively lifeguarding. Lifeguards actively lifeguarding should not be doing other tasks that could distract them. Drowning deaths have resulted, at least in part, from lifeguards being distracted. 
Drowning can occur quickly and quietly. Learn and take steps to prevent drowning."
